Z,A,N,G_satz,mode,half_life_s,tau_s,Q_mev,logft,G
20,45,25,5,beta-,14048640.0,20267425.0,0.257,6.01,0.03217815327096444
20,47,27,7,beta-,2718.0,3921.0,1.987,5.19,888.9653529906653
20,49,29,9,beta-,522.0,753.0,9.0,5.0,1694759.3809418245
28,63,35,7,beta-,3155760000.0,4552467000.0,0.067,6.7,3.874980423941699e-05
28,65,37,9,beta-,151.2,218.1,2.137,4.7,1279.1400888653259
28,66,38,10,beta-,196.8,283.9,0.225,4.3,0.016550384579509997
29,66,37,8,beta-,304.8,439.7,2.642,5.1,3694.533133030943
29,67,38,9,beta-,3600.0,5193.7,0.56,5.0,1.5806497040741625
29,68,39,10,beta-,31.1,44.9,4.46,5.0,50648.87377812492
29,69,40,11,beta-,171.0,246.7,2.122,4.9,1234.8732903000532
29,70,41,12,beta-,4.5,6.5,6.59,5.0,356715.9859105289
30,69,39,9,beta-,3360.0,4847.4,0.901,5.2,17.041956570519126
30,71,41,11,beta-,147.0,212.1,2.81,5.1,5028.368520201399
30,72,42,12,beta-,16740.0,24151.0,0.458,4.8,0.5783928149805148
30,73,43,13,beta-,23.5,33.9,4.63,5.1,61066.13794330213
30,75,45,15,beta-,10.2,14.7,6.01,4.7,225044.2180686703
37,84,47,10,beta-,1974.0,2848.0,5.32,5.1,122307.66098776025
37,86,49,12,beta-,18.7,27.0,5.24,5.5,113384.04180584227
48,115,67,19,beta-,196560.0,283584.0,1.446,5.4,181.44164059436375
48,117,69,21,beta-,8964.0,12932.0,2.516,5.5,2893.667877259671
48,119,71,23,beta-,161.4,232.8,4.02,5.4,30131.847776570645
50,121,71,21,beta-,97560.0,140748.0,0.388,5.2,0.2523795300323373
50,123,73,23,beta-,7752.0,11184.0,1.41,5.4,159.95251114626262
50,125,75,25,beta-,578.0,834.0,2.35,5.1,2057.0024581566704
52,127,75,23,beta-,33660.0,48560.1,0.702,5.5,4.89306584458278
52,129,77,25,beta-,4176.0,6024.7,1.498,5.4,216.49833770309147
52,131,79,27,beta-,1500.0,2164.0,2.233,5.2,1593.4524734954489
52,132,80,28,beta-,276221.0,398504.1,0.493,4.6,0.835853365998487
52,133,81,29,beta-,750.0,1082.0,2.92,5.4,6092.699470458738
52,134,82,30,beta-,2520.0,3635.6,1.56,5.1,265.1663991374096
54,137,83,29,beta-,229.1,330.5,4.17,5.5,36188.9326419192
54,138,84,30,beta-,844.8,1218.8,2.83,5.4,5209.879480654676
54,139,85,31,beta-,39.7,57.3,5.057,5.4,94920.55469812514
54,140,86,32,beta-,13.6,19.6,4.06,5.3,31661.075778389655
54,141,87,33,beta-,1.73,2.5,6.15,5.2,252505.63719782874
54,142,88,34,beta-,1.22,1.76,5.0,5.1,89690.30915753354
38,89,51,0,B-,4368643.0,6302800.0,1.495,9.37,214.3391295285667
38,90,52,0,B-,908100000.0,1310000000.0,0.546,9.3,1.3927036469695144
38,91,53,0,B-,34668.0,50013.0,2.144,6.1,1300.2276713648291
38,92,54,0,B-,9576.0,13815.0,0.566,4.4,1.6671614338094953
38,94,56,0,B-,75.3,108.6,2.083,4.5,1125.4905401442206
